T (°C),x = 0,x = 0.05,x = 0.10,x = 0.13,x = 0.17,x = 0.20
45,0.2118002931,0.08733818407,0.05327585538,0.02881599719,0.03126608808,0.01661389647
55,0.2099742713,0.07833881041,0.05263869713,0.02961232493,0.03043886895,0.01389397221
65,0.2149883465,0.0918944137,0.05717756085,0.02764570529,0.03090678815,0.01380736033
75,0.2132605282,0.08874325421,0.05836331318,0.03396756094,0.03285854123,0.0135728258
85,0.2164358863,0.08643957142,0.05640968228,0.03407940388,0.03392428108,0.01283003859
95,0.2358483714,0.08755546533,0.06225413585,0.03342526735,0.03470292285,0.0133724532
